Bitstring,Count
'111111111101011',3
'111111111101101',8
'111111111101111',34
'111111111110001',5
'111111111110011',6
'111111111110101',2
'111111111110111',29
'111111111111001',8
'111111111111010',1
'111111111111011',47
'111111111111100',2
'111111111111101',95
'111111111111110',16
'111111111111111',1423
