Bitstring,Count
'00100001100000000001',1
'00100010000000000000',1
'00100010000110111110',1
'00100011011111111110',1
'00100101100000000000',1
'00101001000000000001',1
'00101001010000001000',1
'00101001100000000000',1
'00101001111111111110',1
'00101001111111111111',1
'00101100001111111110',1
'00101111111111111111',1
'00110000000000000000',1
'00110000000000001001',1
'00110000000000010000',1
'00110000000000010100',1
'00110000000000111110',1
'00110000000110011110',1
'00110000000111111110',1
'00110000001000000000',2
'00110000001000111110',2
'00110000001110000000',1
'00110000001110111110',1
'00110000010000000000',1
'00110000011001101110',1
'00110000011111111110',1
'00110000100000000000',1
'00110000100000001000',1
'00110000100111111110',2
'00110000101101001100',1
'00110001000000000000',1
'00110001000000000001',1
'00110001000000010000',1
'00110001001000001000',1
'00110001001111111110',1
'00110001111000000000',1
'00110001111111111110',1
'00110011000000000000',1
'00110011100111001000',1
'00110011110111111111',1
'00110110000000000001',1
'00110111111101101111',1
'00111000000000000001',2
'00111000001000001100',1
'00111001011110011110',1
'00111010000000001001',1
'00111011011110101111',1
'00111011111111101111',1
'00111101000000000001',1
'00111110111111111110',1
'00111110111111111111',1
'00111111111111111110',1
'00111111111111111111',2
'01000000000000000000',41
'01000000000000000010',1
'01000000000000001000',3
'01000000000000001110',1
'01000000000000010000',1
'01000000000000101000',1
'01000000000000111110',1
'01000000000010000000',1
'01000000001000000000',2
'01000000010000000000',1
'01000000100000000000',1
'01000000111111111111',1
'01000001000000000000',1
'01000010000000000000',4
'01000011000000000000',1
'01000110000000000000',1
'01001000000000000000',1
'01001000111101111110',1
'01001001111111111111',1
'01001010000000000000',1
'01001110100000000000',1
'01001110110111110110',1
'01001110111000000000',1
'01001110111101111110',1
'01001111011001111111',1
'01001111011101101110',1
'01001111111111111110',3
'01010000000000000000',6
'01010000000000001000',2
'01010000000111111111',1
'01010001000000001010',1
'01010001000000010001',1
'01010001100000000000',1
'01010101111111111110',2
'01010111000000001000',1
'01010111111111111111',1
'01011000000000000000',1
'01011000000010000001',1
'01011000011111111110',1
'01011001100000001000',1
'01011001111111111111',2
'01011011011111000000',1
'01011011011111111111',1
'01011100000000001000',1
'01011110100000000000',1
'01011111011111111110',1
