Bitstring,Count
'00100000001101001100',1
'00100000001110000000',1
'00100000010000000000',4
'00100000010010000000',1
'00100000010110000000',1
'00100000010110010000',1
'00100000010111111110',2
'00100000011111111110',2
'00100000100000000000',3
'00100000110000000000',2
'00100000110000000011',1
'00100000110111111100',2
'00100000110111111110',1
'00100000111111111010',1
'00100000111111111100',1
'00100000111111111110',2
'00100001001000000000',1
'00100001011111111110',1
'00100010101111101110',1
'00100011101000000000',1
'00100100011111111110',1
'00100101010110000000',1
'00101000000000000000',1
'00101001000000000000',1
'00101001000000000001',1
'00101001011111111110',1
'00101001100000000000',1
'00101100000000000000',1
'00101101000000000010',1
'00101110100000000100',1
'00101111011101000000',1
'00101111011111111110',1
'00110000000000000010',1
'00110000000000000100',2
'00110000000100000000',1
'00110000000100000010',1
'00110000000111100110',1
'00110000001110000000',1
'00110000010000000000',1
'00110000010000001000',1
'00110000010111110110',1
'00110000011010011110',1
'00110000100000000000',1
'00110000101101111110',1
'00110000110111011111',1
'00110000111111111100',2
'00110000111111111110',1
'00110001011111111110',2
'00110001100111111110',1
'00110011110111110110',1
'00110101000000000000',2
'00110111000000001011',1
'00110111100000000010',1
'00110111111111111110',1
'00111000000000000011',1
'00111000100000001110',1
'00111011101110101110',1
'00111101111111111111',1
'00111110110000001000',1
'00111111001111111110',1
'00111111011111111111',1
'00111111110111111110',1
'00111111111111111110',1
'01000000000000000000',17
'01000000000000000010',3
'01000000000000001000',2
'01000000000000010010',1
'01000000111111111110',1
'01000001000000000000',1
'01000001000000001000',1
'01000001001000000000',1
'01000011000000000000',1
'01000011111111111110',1
'01000101100000000000',1
'01001000000000000000',1
'01001000000000000010',1
'01001001000000000000',1
'01001001100000100100',1
'01001011011101111100',1
'01001011111111111111',1
'01001110101111111110',1
'01001110111111111110',1
'01001111000000000001',1
'01001111001000000000',1
'01010000001000000010',1
'01010001101111111110',1
'01011001001111111111',1
'01011100111111111110',1
'01011101111111111110',1
'01011110000000000000',1
'01011111100000100100',1
'01011111101110000000',1
'01011111111111111110',1
'01100000010000000000',1
'01100000100000010000',1
'01100000110100000100',1
'01100000111111100111',1
'01100001111111110111',1
