shot,bitstring
399,101011111111111
400,111111111111111
401,000000001000000
402,111111111111111
403,111111101111111
404,000000000000000
405,111111111111101
406,000000000000000
407,000001010000000
408,111111111111111
409,000000000000000
410,000000000000000
411,100000000000000
412,111111111111111
413,000000000000000
414,111111111111111
415,111111111111111
416,000000111111110
417,000000000010000
418,111111111111111
419,000000000000000
420,111110111111111
421,000000000000000
422,000000000000000
423,000000000000000
424,111111111111111
425,111111111111111
426,111111111111111
427,110111111111111
428,111111111111111
429,111111111111111
430,111111111111111
431,111101111111111
432,110111111111111
433,000000000000000
434,000000000000000
435,111111111111101
436,000000010000000
437,111111111111111
438,111111111111111
439,000000000001000
440,111111111111111
441,000000000000000
442,111111111111101
443,111111111111111
444,111111111111111
445,111111111111111
446,001000000110000
447,111111110111111
448,010111111011111
449,000000000100000
450,000001000000000
451,000000000000000
452,110111111111111
453,111111111111111
454,000000000000000
455,000000000000000
456,000000000000000
457,000000000001010
458,111111111111101
459,000010000000000
460,000000001000000
461,000111000000000
462,000000000000000
463,000000000000000
464,111111111011101
465,111111110111111
466,111110111111111
467,000000000000000
468,000010010000000
469,111111100000001
470,111110000000001
471,000000000000000
472,000000000000000
473,111111111011111
474,000000000000000
475,111111111111111
476,111111111111111
477,111111111111111
478,111101111011111
479,111111111111111
480,111111111111111
481,111111111111111
482,000010000000000
483,111111111111011
484,111111111111011
485,000000000000000
486,000000000000000
487,000000000000000
488,000000000000000
489,111111111111111
490,111111111111101
491,000000000000000
492,000000000000010
493,000000000000000
494,000000000000000
495,111011111111111
496,111111111111111
497,111111111110101
498,000001000000000
499,000000000000000
500,100000000000010
501,110000000000000
502,000000000000000
503,110111111111111
504,111111111111101
505,000000000000010
506,111111111111111
507,000000000000000
508,111111111111111
509,000000000000010
510,111111111111111
511,000000000000000
512,000000000000010
513,111111101111111
514,111111111011111
515,111111111011111
516,000000000000000
517,111111111111111
518,011111111111111
519,111111111101111
520,000001000000000
521,000000000000000
522,111111110111111
523,000000000000010
524,000000000000000
525,111111111111111
526,000000000000000
527,000000000000000
528,111111111111111
529,111111111111111
530,111111111111100
531,000000000000000
532,110111111100111
533,111110000000001
534,000000000000000
535,000000000000000
536,111111111111111
537,000001000000000
538,110111111011111
539,000000000000000
540,111111111011111
541,111111111111111
542,111111111111111
543,000000000000000
544,110111111101111
545,000000000000000
546,000000000000000
547,000000001000100
548,000000000000000
549,000000000000000
550,111001000000001
551,000000000000000
552,111111111111011
553,101111111111111
554,010000000000000
555,111110101111111
556,000010000000000
557,111111111111111
558,111111111001111
559,111111111111101
560,111111111011111
561,000000000000000
562,111111111111111
563,000000010000000
564,000000000000000
565,000000000000000
566,111111101111111
567,000000000000000
568,000000000000000
569,111111111111101
570,000000000000010
571,111111111111111
572,111111111111111
573,111111111111111
574,111111111111111
575,111101111111111
576,111111111111111
577,111111111111011
578,111111111111101
579,000001000000000
580,000000000000010
581,000001001011110
582,111110000000001
583,000001100000000
584,111111111111111
585,000000000000000
586,000000001111110
587,111111111111111
588,000000000000000
589,111111111111111
590,000000000000000
591,000000000000000
592,000000000000000
593,000010000000000
594,111111111111111
595,110000000000001
596,111111111111111
597,111111111111111
598,111111111111111
599,000000000000000
600,000000000000000
601,111111111111111
602,101111111111111
603,110111111111111
604,000000000000000
605,111111111111111
606,111111111111111
607,111111111111111
608,000000000000000
609,000010000000000
610,111111111111111
611,000000000000010
612,111111111111111
613,000000000000000
614,111110111111111
615,000000000000000
616,000000000000000
617,000000000000100
618,111111111111111
619,001000000000000
620,000000000000000
621,000000000000000
622,111111111111111
623,000000000000000
624,111111111111111
625,111011111111111
626,111111111101111
627,000000000000000
628,010000000100010
629,111111111111111
630,000000000000000
631,010000000000000
632,000000000000000
633,000000000000000
634,111111110111111
635,000000000000000
636,000000000000000
637,111110111111111
638,000000000000100
639,111111111111111
640,000000000000000
641,111111011111111
642,110111111111111
643,111111111011111
644,101111111111110
645,000000000000000
646,111111111111111
647,000000000000000
648,111110111111111
649,111111111111111
650,000000000000000
651,111111111101111
652,000000000000000
653,111110111111111
654,111111111111111
655,111111111101111
656,000001001001100
657,000000000000100
658,111111100010011
659,000000000000000
660,111111110101111
661,000000000000000
662,110111111101111
663,000000000000000
664,000000000000000
665,000000000000000
666,000000000000000
667,111101000000001
668,011111111111110
669,000000000000000
670,000000000000000
671,111111111111111
672,000000000000000
673,000000000000000
674,111111111111111
675,111111111111111
676,000011111111110
677,111111111111111
678,111111111111111
679,000000000000000
680,111011111111111
681,000000000000100
682,000000000110000
683,111111111111111
684,111111111111111
685,111111111111111
686,000000000000000
687,111111111111101
688,000000000000010
689,000000000000000
690,111100000000001
691,110000000000001
692,000000000001000
693,011111111111110
694,000010000000000
695,000000010000000
696,000000000000000
697,111111111111111
698,000000010000000
699,000000000000000
700,111111111111111
701,111111111111111
702,000000000000010
703,111111111111111
704,111111111111111
705,000000000000000
706,000000000000000
707,000000000000000
708,111111111111111
709,111111111111111
710,111111111111111
711,000000000000000
712,000000000000000
713,000000000000000
714,111111111111111
715,000000000000000
716,000000000000000
717,000000000000000
718,010000000000000
719,111110111111111
720,000010000010000
721,000000111111110
722,010000000000000
723,000000000000000
724,000000000000000
725,000000010000000
726,000000000000010
727,111111011111111
728,111110111111111
729,111111111111111
730,111111111111111
731,111101111111111
732,110000000001001
733,111111011111111
734,000000000000000
735,000000000000000
736,000000000000000
737,000000000000000
738,000000000000000
739,000000000000000
740,000010000000000
741,111101111111111
742,111111111111111
743,111111111111111
744,111111111000001
745,000000000000000
746,111111111111111
747,000000100000000
748,111111111111111
749,000000000000000
750,111110101000001
751,000000000000000
752,111111111111111
753,000000000000000
754,000000000000010
755,111111111111111
756,111111111101111
757,000000000000000
758,000000000000000
759,111111111111111
760,000000000000000
761,111111111111111
762,111111111111111
763,000000000000000
764,111111111111111
765,000000000000100
766,111110111111111
767,000000000000010
768,111111111111111
769,000000000000000
770,111111111111111
771,000000000000000
772,000000000000010
773,000000000000000
774,111111111111101
775,000000000000000
776,111111111111111
777,111111111111111
778,111111111111111
779,011111111111111
780,100000001111100
781,101110000000001
782,110100000000000
783,000000010000010
784,111111111111111
785,111111111011101
786,000010000000000
787,000000000000000
788,111111101111111
789,000000000000000
790,000000010000000
791,000000000010000
792,111111111111111
793,000000000000000
794,111111111111111
795,111111111111111
796,110111011111111
797,000000000000000
798,111111111101111
799,110101111111111
800,000000000000000
801,000000000000000
802,000000000000010
803,110111111111111
804,000000000000000
805,111111111111111
806,111111111111111
807,000000000000000
808,011101111011111
809,000000000000000
810,010000000000010
811,000000000000000
812,111111111111101
813,111111111111111
814,000000000000000
815,111111111011111
816,111110011111111
817,111110011111111
818,111111111111111
819,000000000000000
820,111110111111111
821,000000000000000
822,000000000000000
823,111111111111111
824,111111111111111
825,111111111111101
826,010000000000010
827,000000000000000
828,111111111111111
829,000010000000000
830,001000000000000
831,000000000000000
832,000000000000000
833,000000000000000
834,000000000000000
835,000000000000010
836,111111111111111
837,000000000011110
838,110110001111111
839,111111111111110
840,111111111111111
841,000000000000000
842,110000000000000
843,000000000111110
844,111111111111111
845,111111111111111
846,000000110000000
847,111111111111111
848,000000000000000
849,111110111111111
850,000000000000010
851,101111111011111
852,000000000000000
853,000000100000000
854,100000000000000
855,111111111111111
856,100111111111111
857,000000000000110
858,000000000000000
859,111111111111111
860,111111111111111
861,000000000000000
862,000000000000000
863,111111111111111
864,000000000000000
865,000000000001100
866,111111111101111
867,000011000001010
868,111111111111001
869,000000000000000
870,111111111111111
871,111111111111111
872,111111010000001
873,111010000000001
874,111111111111111
875,000111111111110
876,000000000000000
877,011111111011110
878,000000000001110
879,000000000000000
880,000000000000000
881,111111111111111
882,000000000000000
883,000000000000000
884,000000000100000
885,111111111111111
886,000000000000000
887,000000001011110
888,111111111111111
889,111111111111111
890,111111111111111
891,000000000000000
892,111111110111111
893,010000000000000
894,000000000000000
895,111111111111111
896,111111111111111
897,000000000100000
898,111111101011111
899,111111111111111
900,000000000000000
901,000000100000000
902,111111111111110
903,000001000000000
904,000000000000000
905,111111111111111
906,000000000000000
907,110111011111111
908,000000000000000
909,111111111011111
910,110111111111111
911,111111111111101
912,111111111111111
913,111111111111111
914,110111110111111
915,000000000010000
916,000000000000000
917,111111111111111
918,111111111111111
919,000000000000000
920,111111111111111
921,111111111111101
922,000000000010000
923,111111111111111
924,111110111111111
925,100000000000000
926,111111111111111
927,000000000001000
928,111111111111111
929,000000000000000
930,000000100000000
931,000000000000000
932,000010000000000
933,011111111111111
934,000000000000000
935,010000001111110
936,000000000010000
937,111111111111111
938,111111111111111
939,000001000000010
940,000000000000000
941,000000100010000
942,110000000000010
943,000000000000010
944,000000000000000
945,000000000100110
946,000000000000000
947,000000000000000
948,111111111111111
949,000000000000000
950,000000000001000
951,000000000000000
952,000000000000010
953,111111000000001
954,000000000000000
955,111111111111111
956,000000000000000
957,000000000000000
958,000000000000000
959,000000000000000
960,000000000001000
961,000000000000000
962,000000000000000
963,111111111011111
964,111111111111111
965,011111111111111
966,000000000001000
967,111111111111111
968,111111111000001
969,000001000000000
970,111111111111111
971,000000000000000
972,110110111111111
973,000001001110110
974,111111111111111
975,111111111111111
976,111111111111111
977,111111111111111
978,111111011000001
979,000000000000000
980,000000000000000
981,000000000000000
982,000010000000000
983,111111111111111
984,101110111111111
985,000011111111110
986,111110111111111
987,000000000000000
988,010000000000000
989,000000000000100
990,000000000000000
991,111111011111011
992,111111111001111
993,000000000000000
994,000000000000000
995,000100000000000
996,111111111111111
997,000000000000000
998,111011111110001
999,111111111111111
1000,111110111111111
1001,000000000000000
1002,000000000000000
1003,111111111011111
1004,111111111111111
1005,010000000000000
1006,111111111111111
1007,000000000000010
1008,111111111111111
1009,111100000000001
1010,111110111111111
1011,000000000000000
1012,000000000000010
1013,000000000000000
1014,000000000000000
1015,111111110111111
1016,001000000000000
1017,111000000010001
1018,000000000000000
