shot,bitstring
160,000000000000000
161,111111110111111
162,111111110111111
163,111111111111111
164,000000000000000
165,111111111111111
166,111111111111111
167,101011110111111
168,000001000000000
169,000000000000000
170,111111111101111
171,111111110111111
172,000000000000000
173,111111111111111
174,111110111111011
175,000000000000000
176,111111111111111
177,000000011000000
178,111111111111111
179,111111111111111
180,000000000000000
181,111100111111111
182,000000000000000
183,111111111111111
184,111111111111111
185,111011110111111
186,111111110111111
187,111111111111111
188,000000001000000
189,000000000000000
190,111111111111111
191,111111011111111
192,111111111111111
193,010000000000001
194,000000001000000
195,111111111111111
196,101111111111101
197,000000000000100
198,111011111111111
199,111111111111111
200,000000000000000
201,111111111111111
202,000000000000000
203,000000000001000
204,111100000000001
205,111111100001111
206,000000000000001
207,000000001000000
208,000100000000000
209,000000000000001
210,111011111111111
211,010000010110000
212,111111111111111
213,111111111111111
214,000000000000000
215,000000000000000
216,000000000000001
217,000000000000000
218,000000000000000
219,000000000000000
220,000000001111111
221,111111111111111
222,000000000000000
223,111111111111111
224,000000001000000
225,101111110111111
226,000000010111110
227,000000000000000
228,101000000000001
229,111111111101011
230,111111110111111
231,000000000000000
232,000000000001000
233,111111111111111
234,111111111111001
235,000000000000000
236,000000000000000
237,000000000000001
238,000000000000000
239,111111111111111
240,000000000000000
241,111111110111111
242,001110000000000
243,000000001000000
244,111111111111111
245,111111111111111
246,001100000011110
247,111111110011111
248,000000001000000
249,000111111111110
250,111111111111111
251,111111111111111
252,000000000000000
253,111111001101111
254,000000000000000
255,111111111111111
256,000000000000000
257,000000000000000
258,111111111111110
259,111111011111111
260,101111111111111
261,000000000000000
262,111111111111111
263,111110001000001
264,111111111111111
265,111111000000001
266,000000000000000
267,000000001000000
268,111111111111101
269,000000000000000
270,101111111110100
271,000000000000000
272,111111111111111
273,000000000000001
274,111111111111111
275,111111111111111
276,111111111111111
277,000000000000000
278,111111111111111
279,000100000000000
280,000000000000000
281,000000000000000
282,000000001000000
283,000000000000000
284,111111111111111
285,111111111111111
286,111111111111111
287,101111110111111
288,111111111111111
289,000000000000000
290,000000001000000
291,111111111111111
292,111110111111111
293,111111111111111
294,111111111111111
295,000000000000000
296,111111111111111
297,101111111111111
298,111111111111111
299,000000100000000
300,111111111111111
301,111111111111111
302,111111111111110
303,000000000000000
304,000000001000000
305,111111111111111
306,000000000000000
307,111111111011111
308,000000000000000
309,111111110111111
310,111111111111111
311,000000000000000
312,111111111111111
313,111111111111111
314,111111001111111
315,000000000000000
316,111111111111111
317,001100000000000
318,000000000000010
319,000000000000000
320,000000000000000
321,111111111111111
322,000000000010100
323,111111111111111
324,111111110111111
325,111111000000001
326,111101111111111
327,000000000000000
328,110111111111111
329,000000000000000
330,111111110111111
331,111111111111111
332,000000011111110
333,000000000000001
334,000000000000010
335,000000000000010
336,111111111110111
337,000000001000000
338,000000000000000
339,111111111111111
340,111111111111111
341,000000000000000
342,000000001000000
343,000000000000000
344,111100000000001
345,111111111111111
346,111111110111111
347,111111111111111
348,111100011111111
349,000000000000000
350,000000000000000
351,000000000000000
352,111111111111111
353,000000000000000
354,111111110111111
355,000000000000000
356,111111111111111
357,001000001000001
358,111111111111111
359,000000000000000
360,000000000000000
361,000000000000000
362,111111111111111
363,000000000000000
364,000011111001000
365,111111111111110
366,000000000000100
367,000000000000000
368,111111111111111
369,010000000000000
370,101111111111111
371,110111111000001
372,000000000000000
373,000000000000000
374,000000100111110
375,000000011111110
376,110000100101111
377,111111111000001
378,111111111111111
379,111111111111111
380,111111111111111
381,000100000000000
382,000000000000000
383,000000000000000
384,111111111111111
385,000000000000000
386,000000001000000
387,000000000000000
388,000000000000000
389,000000000000000
390,000000000000000
391,000000000000000
392,111111111111111
393,111111111111111
394,111111111111111
395,000000000000000
396,111111110111111
397,111010000000001
398,000000000000000
399,000000000000000
400,101111110011111
401,000000000100000
402,111111111111111
403,111111111101111
404,000000000000001
405,000000000000000
406,111101111111111
407,111111111111111
408,111101111111111
409,010000000000000
410,111111111111111
411,000000000000001
412,000000000000000
413,111111111111111
414,111111111111111
415,000000000000000
416,000000000000000
417,000000000000000
418,111111111111111
419,000101111111110
